lambda_micron,f_nu_mJy_z0.05_m10.0,f_nu_mJy_z0.05_m10.5,f_nu_mJy_z0.05_m11.0,f_nu_mJy_z0.1_m10.0,f_nu_mJy_z0.1_m10.5,f_nu_mJy_z0.1_m11.0,f_nu_mJy_z0.15_m10.0,f_nu_mJy_z0.15_m10.5,f_nu_mJy_z0.15_m11.0,f_nu_mJy_z0.2_m10.0,f_nu_mJy_z0.2_m10.5,f_nu_mJy_z0.2_m11.0
1.001001001001001,1.4976851117622045,4.949795827471592,11.868826312434216,0.4535729008743273,1.1754046813264902,2.776729803401439,0.3195159353706115,0.5090495601010112,0.9789614845088483,0.32451002592359846,0.40129128146107074,0.5203399530791969
1.0052552552552552,1.4724628813840255,4.883040847489863,11.818259316784681,0.47053790799984047,1.205137987755268,2.832609385124491,0.32389287754981777,0.5165880454493001,0.9896593638972425,0.32802014959068665,0.4052670406604141,0.5166303343096124
1.0095095095095095,1.5276454023843593,5.06614007898901,12.014084190302661,0.46705069134150956,1.2112068711722974,2.857739229535135,0.3275727846656302,0.5275500195177897,1.0131885096444255,0.32589574668275983,0.41006472639157576,0.5235506730889217
1.0137637637637638,1.5224442566827485,5.083472618403562,12.098177895900282,0.4573213708731034,1.174938875580692,2.786575152051159,0.33355973594112764,0.5264441924394598,0.9934236075291079,0.325777344093919,0.4063971528306062,0.5132424076722419
1.018018018018018,1.5357164818008182,5.131016908045497,12.155970786841063,0.45032187859875517,1.1571312094752297,2.751760931735645,0.3313995888458574,0.5281241479366235,1.0184821919804745,0.31669323709815367,0.4099229544742993,0.5098972204223959
1.0222722722722724,1.5320597722779161,5.117866896552529,12.155788977149077,0.46965568221581994,1.1777194952046446,2.771306459668784,0.32105162709289625,0.520529335453852,0.9896523825619816,0.31710926690788177,0.4033566331352638,0.4873353489060096
1.0265265265265264,1.536296395247804,5.116222056589445,12.117997012345018,0.47426968876302805,1.196722910233551,2.779573099663099,0.32940273863127584,0.5329945761686294,1.0146256619325507,0.31298836236488303,0.38732612465018207,0.48366568390756537
1.0307807807807807,1.546634962723093,5.198892163360445,12.19166819941044,0.4760408891917553,1.1988396934996703,2.792640210711267,0.332274989133281,0.5244271014376511,1.0194048031237475,0.33756623670598096,0.4161261813022732,0.5241180443121539
1.035035035035035,1.5571296103856627,5.272973752146935,12.34426364755873,0.478419840307591,1.1997279461763095,2.7983408053478858,0.32915571082092976,0.5157171839670152,0.9588704410123501,0.3087374863935214,0.4278366838302557,0.5345242485847204
1.0392892892892893,1.5603340417078613,5.219901677654976,12.421346260157259,0.4752919957027738,1.209863910222278,2.836674353157272,0.33635643443588814,0.5378066536969752,1.052359103297114,0.33504019623345493,0.39062146894881544,0.5105840054108833
1.0435435435435436,1.5668168877552686,5.299349000436247,12.470666347965675,0.4792616365305307,1.2355015790141715,2.9025601593580928,0.34296806917505573,0.5440825836431065,1.077913742381977,0.3300654273107721,0.4304706071352895,0.5311859325909609
1.0477977977977977,1.5775660679199608,5.3566111855586716,12.56766544887494,0.4745791575071897,1.2323894685106183,2.9033943302313228,0.3343729166544564,0.5521416701808324,1.0774121897363198,0.3428250102611078,0.4321736971219999,0.5432652444970357
1.0520520520520522,1.5736266655528728,5.371505693173618,12.699314910773197,0.4694804246291242,1.2174430293356149,2.9041191621089197,0.33664032844774516,0.5386142092945174,1.0705033265964583,0.33922786199812904,0.4506979079146439,0.549111212834086
1.0563063063063063,1.5680375519667646,5.376160615771186,12.707777500670982,0.4857684527358433,1.260894389009093,2.968826953509334,0.339279155386777,0.5329054884462916,1.095734402911801,0.3370871680353863,0.4521061820326142,0.5618816339720061
1.0605605605605606,1.573421568022633,5.380815538368752,12.781189646771692,0.48787558214492954,1.25516096799899,2.978012956122628,0.3296477156935271,0.5372873044759419,1.071126957153317,0.3339243809549677,0.44813598133642857,0.5554597128478804
1.0648148148148149,1.590460752733374,5.3891281684014,12.851939455953588,0.4896025256630295,1.261330602971175,2.976528305911846,0.3322220895167689,0.5452408654192828,1.0588159479739188,0.33636599946024015,0.4296127424827747,0.5438722530286285
1.0690690690690692,1.5943270342557478,5.414324096669734,12.941800866692063,0.48988581921254604,1.2629769773843815,3.003094273648813,0.34634971711399287,0.560422648586149,1.0736483147136746,0.33523890002174517,0.45140477251126193,0.5505405107711963
1.0733233233233235,1.6042177862492104,5.439520024938068,13.007591171450972,0.48458387305493583,1.2575641702000495,2.989068529357855,0.34806466557828386,0.5669404278528176,1.1006202858257637,0.32954910097449913,0.45025458174292354,0.5525510400287759
1.0775775775775776,1.612063332270853,5.4647904090412425,13.114229789795758,0.49033113747489565,1.2621590020696165,3.0147270380894544,0.34873116870783494,0.5661572490020943,1.10201837864768,0.3326390965483077,0.44558251273249827,0.5528567670964962
1.0818318318318318,1.615751280769171,5.5019724027346495,13.188407735652543,0.49825005355310326,1.2907438527657478,3.055646162821558,0.34946012560704903,0.5688962189044289,1.1066130810072252,0.35084058332813267,0.44087990630898366,0.5349701861800005
